title,description,pubDate,link
Jeremy Bowen: Ukraine faces its worst crisis since the war began,The composure Ukrainians show in the face of Russian attacks cannot conceal the dangers Kyiv faces in the summer ahead.,"Tue, 28 May 2024 05:05:08 GMT",https://www.bbc.com/news/articles/c9xx15pe311o
Do we need a Celebration Day for loved ones who have died?,A range of voices discuss whether we need a special day for commemoration.,"Mon, 27 May 2024 00:33:10 GMT",https://www.bbc.com/news/articles/cz994g78rn0o
"The Papers: Trump found guilty, and 'splits in Labour ranks'",Friday's front pages are dominated by Donald Trump's fraud conviction. ,"Fri, 31 May 2024 04:52:34 GMT",https://www.bbc.com/news/articles/c0kk1qrlyz4o
Weekly quiz: Why wasn’t James Bond shaken or stirred by Lana Del Rey?,Test how closely you have been paying attention to what has been going on over the past seven days.,"Thu, 30 May 2024 16:46:29 GMT",https://www.bbc.co.uk/news/world-69077923
Dinosaur hunter stumbles across million-dollar find,"This extraordinary discovery was made by chance, during one man’s birthday stroll on the mountains of Colorado.","Fri, 31 May 2024 00:06:45 GMT",https://www.bbc.com/news/articles/crggxgl1k0xo
The Indian women trumpeting their caste on Instagram,Instagram is the latest battleground for caste identities - and the players are young Indian women.,"Thu, 30 May 2024 21:37:19 GMT",https://www.bbc.com/news/articles/cgrrq9e2pelo
Meet the women campaigning to become Mexico's first female president,Claudia Sheinbaum and Xóchitl Gálvez are election front-runners in a deeply patriarchal society.,"Fri, 31 May 2024 05:00:17 GMT",https://www.bbc.com/news/articles/cxrr597e907o
Geek Girl: The teen drama tackling neurodiversity ,Holly Smales' acclaimed book series has been developed by Netflix into a ten-part Netflix drama.,"Fri, 31 May 2024 00:11:04 GMT",https://www.bbc.com/news/articles/cl447njkdy6o
All Eyes on Rafah: The post that's been   shared by more than 47m people,An AI-generated image with the text “All eyes on Rafah” has been shared more than 45 million times.,"Thu, 30 May 2024 15:43:27 GMT",https://www.bbc.com/news/articles/cjkkj5jejleo
Download now,"Top stories, breaking news, live reporting, and follow news topics that match your interests","Tue, 13 Jun 2023 10:25:22 GMT",https://www.bbc.co.uk/news/10628994
Jameela Jamil reveals long-term impact of anorexia,"The 38-year-old says the condition, which she had in her teens, ""destroyed"" her bones and heart.","Thu, 30 May 2024 17:03:06 GMT",https://www.bbc.com/news/articles/c1ddgl9vjrno
'We are D-Day Dodgers - but we were busy fighting',"Matt MacKinnon Pattison, 99, recalls being among hundreds of thousands stationed in Italy in 1944.","Fri, 31 May 2024 05:02:09 GMT",https://www.bbc.com/news/articles/ce99vz560dno
The train service that is mimicking London's Tube,The first step towards the Welsh valleys getting its own underground starts on Sunday.,"Fri, 31 May 2024 05:00:25 GMT",https://www.bbc.com/news/articles/c888j7722q6o
Thousands rally in NZ in support of Māori rights,Demonstrators say recent government policies seek to disadvantage indigenous people. ,"Thu, 30 May 2024 22:13:07 GMT",https://www.bbc.com/news/articles/cv227wzjgy8o
"Girl, 9, critical after Hackney quadruple shooting","The ""innocent victim"" was among four people hurt in a shooting outside an east London restaurant.","Thu, 30 May 2024 14:09:30 GMT",https://www.bbc.com/news/articles/cv22pg27lg5o
Kenya hears 'heartbreaking' claims against UK soldiers,Witnesses at public hearings in Kenya make allegations against British soldiers at a base in Nanyuki.,"Thu, 30 May 2024 18:28:26 GMT",https://www.bbc.com/news/articles/cedd92vn5lko
Home Office says Eurostar e-gate issue fixed,Eurostar said there was a technical problem with UK Border Force e-gates at Gare du Nord.,"Thu, 30 May 2024 18:07:39 GMT",https://www.bbc.com/news/articles/c511x9nk29lo
Pace duo Wood & Archer bring excitement for England,"Jofra Archer looks like he has never been away while Mark Wood finds form to bring the ""excitement"" to England's T20 World Cup defence.","Thu, 30 May 2024 22:35:55 GMT",https://www.bbc.com/sport/cricket/articles/cd11dl1n3y8o
Fifa warned players could go on strike ,Football's world governing body Fifa is warned players are willing to go on strike if they continue to be overworked.,"Thu, 30 May 2024 20:16:44 GMT",https://www.bbc.com/sport/football/articles/c2jjmn7ex4vo
The Dortmund fan one game from status as an icon,"The story of how Edin Terzic, a boyhood Borussia Dortmund fan, has taken his team to the Champions League final.","Fri, 31 May 2024 05:23:19 GMT",https://www.bbc.com/sport/football/articles/cg3392r0dvxo
Hudson-Smith breaks European record in Oslo,Great Britain's Matthew Hudson-Smith beats his own 400m European record with a convincing victory in his season opener at the Diamond League in Oslo.,"Thu, 30 May 2024 20:12:43 GMT",https://www.bbc.com/sport/athletics/articles/cnkkqzw21z2o
'That's absolutely flown!' - Blistering Wood delivery dismisses Azam,"Watch as England's Mark Wood delivers a blistering ball which leads to Azam Khan's dismissal, leaving Pakistan on 86-5 in the fourth T20 at The Oval.","Thu, 30 May 2024 18:52:01 GMT",https://www.bbc.com/sport/cricket/videos/c4nn910jwwzo
England's James ruled out of Euro 2025 qualifiers,England's Lauren James is ruled out of their Euro 2025 qualifiers against France due to a foot injury.,"Thu, 30 May 2024 18:45:02 GMT",https://www.bbc.com/sport/football/articles/c4nnrnr12w0o
Follow continuing coverage of the campaign,Follow continuing coverage of the 2024 General Election Campaign.,"Thu, 30 May 2024 04:57:16 GMT",https://www.bbc.co.uk/iplayer/episode/l0056myh
Americast,The former president has been convicted on all counts in historic criminal trial.,"Fri, 31 May 2024 01:20:00 GMT",https://www.bbc.co.uk/sounds/play/p0j1c4v8
Five hacks to help save money on your food shop,The cost-of-living crisis continues to bite. Here are some things that can reduce the impact.,"Wed, 29 Nov 2023 15:53:08 GMT",https://www.bbc.co.uk/news/uk-61798003
How fast are prices rising in the UK?,"The rate at which prices are rising has fallen from record highs, but is still above the 2% target.","Wed, 22 May 2024 08:04:54 GMT",https://www.bbc.co.uk/news/business-12196322
How are universal credit rules changing?,People claiming universal credit and working under 18 hours a week will have to look for more work.,"Mon, 13 May 2024 13:44:48 GMT",https://www.bbc.co.uk/news/uk-41487126
Who gets 15 hours of free childcare and how do I apply?,Parents in England can now access 15 hours of free weekly childcare for their two-year-olds.,"Mon, 13 May 2024 09:06:26 GMT",https://www.bbc.co.uk/news/education-62036045
How much is the state pension worth now?,"Payments to pensioners have risen by 8.5% following the government's ""triple lock"" pledge.","Tue, 28 May 2024 10:01:00 GMT",https://www.bbc.co.uk/news/business-53082530
How much will the 2p National Insurance cut save me?,A further 2p cut in National Insurance for 27 million workers has come into effect.,"Fri, 05 Apr 2024 21:33:09 GMT",https://www.bbc.co.uk/news/explainers-63635185
What is happening to gas and electricity bills?,A new energy price cap means the cost of electricity and gas will fall from 1 July.,"Fri, 24 May 2024 09:51:56 GMT",https://www.bbc.co.uk/news/business-58090533
How fast are prices rising in the UK?,"The rate at which prices are rising has fallen from record highs, but is still above the 2% target.","Wed, 22 May 2024 08:04:54 GMT",https://www.bbc.co.uk/news/business-12196322
When will interest rates come down?,"Bank of England interest rates affect mortgage, loan and savings rates for millions of people.","Wed, 22 May 2024 11:39:50 GMT",https://www.bbc.co.uk/news/business-57764601
"How much does uni cost, and will I earn more if I go?","Given higher costs, some students are wondering whether going to university makes financial sense.","Fri, 17 May 2024 09:32:06 GMT",https://www.bbc.co.uk/news/education-62237170
How do I know if my smart meter is broken?,Almost four million smart meters in Great Britain were not working at the end of 2023.,"Tue, 26 Mar 2024 15:17:44 GMT",https://www.bbc.co.uk/news/business-68664200
When will interest rates come down?,"Bank of England interest rates affect mortgage, loan and savings rates for millions of people.","Wed, 22 May 2024 11:39:50 GMT",https://www.bbc.co.uk/news/business-57764601
How much are prices rising for you? Try our calculator,Use our calculator to find out how much the cost of living is going up in your household.,"Wed, 22 May 2024 06:18:36 GMT",https://www.bbc.co.uk/news/business-62558817
When will interest rates come down?,"Bank of England interest rates affect mortgage, loan and savings rates for millions of people.","Wed, 22 May 2024 11:39:50 GMT",https://www.bbc.co.uk/news/business-57764601
Energy bills predicted to fall by 7% in July,"If the forecast proves correct, it would mean a typical annual bill could be £500 lower than last summer.","Fri, 17 May 2024 11:47:34 GMT",https://www.bbc.com/news/articles/c51nykexzj8o
What are my rights if my flight is cancelled or delayed?,"If you face disruption because flights are cancelled or delayed, then what can you do?","Mon, 15 Apr 2024 11:24:46 GMT",https://www.bbc.co.uk/news/business-61646214
"How much does uni cost, and will I earn more if I go?","Given higher costs, some students are wondering whether going to university makes financial sense.","Fri, 17 May 2024 09:32:06 GMT",https://www.bbc.co.uk/news/education-62237170
How to get a job: Six expert tips for finding work,"More than 10m people out of work in the UK, so if you're searching for a job you're not alone. Here are some tips on how to get started.","Tue, 16 Apr 2024 11:11:12 GMT",https://www.bbc.co.uk/news/business-64939070
When will interest rates come down?,"Bank of England interest rates affect mortgage, loan and savings rates for millions of people.","Wed, 22 May 2024 11:39:50 GMT",https://www.bbc.co.uk/news/business-57764601
Mums renew safety call on beach deaths anniversary,"Sunnah Khan, 12, and Joe Abbess, 17, drowned in the sea near Bournemouth Pier in May 2023.","Fri, 31 May 2024 05:26:20 GMT",https://www.bbc.com/news/articles/cv227lzzym2o
Town centre street remains closed after major fire,The discovery of asbestos at the fire site means the Limavady street will stay closed into Friday.,"Thu, 30 May 2024 23:27:59 GMT",https://www.bbc.com/news/articles/c6pp639rp2po
Police blamed after human error led to M9 tragedy,Lamara Bell died after being left for three days in a car that had crashed down an embankment.,"Fri, 31 May 2024 05:16:37 GMT",https://www.bbc.com/news/articles/c4nn2770d5jo
The train service that is mimicking London's Tube,The first step towards the Welsh valleys getting its own underground starts on Sunday.,"Fri, 31 May 2024 05:00:25 GMT",https://www.bbc.com/news/articles/c888j7722q6o
